3.08567758e+14  9.55383964e+112 1.31005153e+127 
4.96176955e+20  8.08500278e-25  1.10864016e-10  
4.98028362e+20  8.07284691e-25  1.10697331e-10  
4.99879768e+20  8.06067903e-25  1.10530481e-10  
5.01731175e+20  8.04849936e-25  1.10363470e-10  
5.03582581e+20  8.03630816e-25  1.10196300e-10  
5.05433988e+20  8.02410565e-25  1.10028976e-10  
5.07285394e+20  8.01189208e-25  1.09861499e-10  
5.09136801e+20  7.99966767e-25  1.09693875e-10  
5.10988207e+20  7.98743267e-25  1.09526105e-10  
5.12839614e+20  7.97518730e-25  1.09358192e-10  
5.14691020e+20  7.96293181e-25  1.09190141e-10  
5.16542427e+20  7.95066642e-25  1.09021955e-10  
5.18393834e+20  7.93839136e-25  1.08853635e-10  
5.20245240e+20  7.92610686e-25  1.08685187e-10  
5.22096647e+20  7.91381316e-25  1.08516612e-10  
5.23948053e+20  7.90151048e-25  1.08347913e-10  
5.25799460e+20  7.88919904e-25  1.08179095e-10  
5.27650866e+20  7.87687908e-25  1.08010160e-10  
5.29502273e+20  7.86455082e-25  1.07841111e-10  
5.31353679e+20  7.85221448e-25  1.07671952e-10  
5.33205086e+20  7.83987029e-25  1.07502685e-10  
5.35056492e+20  7.82751848e-25  1.07333313e-10  
5.36907899e+20  7.81515925e-25  1.07163839e-10  
5.38759306e+20  7.80279284e-25  1.06994267e-10  
5.40610712e+20  7.79041946e-25  1.06824600e-10  
5.42462119e+20  7.77803934e-25  1.06654840e-10  
5.44313525e+20  7.76565268e-25  1.06484990e-10  
5.46164932e+20  7.75325971e-25  1.06315054e-10  
5.48016338e+20  7.74086064e-25  1.06145034e-10  
5.49867745e+20  7.72845569e-25  1.05974934e-10  
5.51719151e+20  7.71604508e-25  1.05804756e-10  
5.53570558e+20  7.70362900e-25  1.05634503e-10  
5.55421965e+20  7.69120769e-25  1.05464178e-10  
5.57273371e+20  7.67878133e-25  1.05293784e-10  
5.59124778e+20  7.66635016e-25  1.05123324e-10  
5.60976184e+20  7.65391438e-25  1.04952800e-10  
5.62827591e+20  7.64147419e-25  1.04782217e-10  
5.64678997e+20  7.62902980e-25  1.04611576e-10  
5.66530404e+20  7.61658141e-25  1.04440880e-10  
5.68381810e+20  7.60412924e-25  1.04270132e-10  
5.70233217e+20  7.59167349e-25  1.04099334e-10  
5.72084623e+20  7.57921435e-25  1.03928491e-10  
5.73936030e+20  7.56675204e-25  1.03757604e-10  
5.75787437e+20  7.55428674e-25  1.03586676e-10  
5.77638843e+20  7.54181867e-25  1.03415710e-10  
5.79490250e+20  7.52934802e-25  1.03244709e-10  
5.81341656e+20  7.51687498e-25  1.03073675e-10  
5.83193063e+20  7.50439976e-25  1.02902611e-10  
5.85044469e+20  7.49192255e-25  1.02731519e-10  
5.86895876e+20  7.47944355e-25  1.02560403e-10  
5.88747282e+20  7.46696294e-25  1.02389266e-10  
5.90598689e+20  7.45448092e-25  1.02218108e-10  
5.92450095e+20  7.44199769e-25  1.02046934e-10  
5.94301502e+20  7.42951343e-25  1.01875746e-10  
5.96152909e+20  7.41702833e-25  1.01704547e-10  
5.98004315e+20  7.40454259e-25  1.01533339e-10  
5.99855722e+20  7.39205638e-25  1.01362124e-10  
6.01707128e+20  7.37956989e-25  1.01190905e-10  
6.03558535e+20  7.36708331e-25  1.01019686e-10  
6.05409941e+20  7.35459683e-25  1.00848467e-10  
6.07261348e+20  7.34211062e-25  1.00677253e-10  
6.09112754e+20  7.32962487e-25  1.00506044e-10  
6.10964161e+20  7.31713976e-25  1.00334845e-10  
6.12815568e+20  7.30465547e-25  1.00163656e-10  
6.14666974e+20  7.29217217e-25  9.99924814e-11  
6.16518381e+20  7.27969006e-25  9.98213228e-11  
6.18369787e+20  7.26720929e-25  9.96501828e-11  
6.20221194e+20  7.25473006e-25  9.94790637e-11  
6.22072600e+20  7.24225252e-25  9.93079680e-11  
6.23924007e+20  7.22977687e-25  9.91368980e-11  
6.25775413e+20  7.21730326e-25  9.89658561e-11  
6.27626820e+20  7.20483187e-25  9.87948446e-11  
6.29478226e+20  7.19236287e-25  9.86238659e-11  
6.31329633e+20  7.17989643e-25  9.84529223e-11  
6.33181040e+20  7.16743272e-25  9.82820161e-11  
6.35032446e+20  7.15497190e-25  9.81111496e-11  
6.36883853e+20  7.14251415e-25  9.79403251e-11  
6.38735259e+20  7.13005962e-25  9.77695448e-11  
